烦躁蛋炒饭,1,364,['2021-02-12'],阴阳师玩家看了直骂街。犹如《千与千寻》+《哈利波特》+《我和僵尸有个约会》大杂烩。神乐选角烂到无比，不是矮就能演神乐的。源博雅人设改到仿佛一个冲动的智障。陈坤演啥都已经厂花化了。(说好看，值回票价的水军，你们良心不会痛吗？
StephenYKQ,1,357,['2021-02-12'],非常难看。非常差。刚开始还想说是低配版狄仁杰，我这么想真是对不住徐克。真的是恶心他妈给恶心开门。我没睡的唯一原因是快被气死了。离谱。好久没看到这么差的电影，第一次这么差的电影我还坚持到看完了。我以人格担保，《晴雅集》要比这个好看一百倍（我知道不是同一个本子）。怎么说，《侍神令》真的是一无是处，各种技术问题，故事、人物等等啥都完全不堪入目。这个黑化陈伟霆真的不如《爵迹》哦！不知道要用怎样恶劣的语言去描述这样一部电影——啊这也配得上叫电影吗？陈坤真的人间油物，这个傻逼还装逼的形象是他本人吧，突然好喜欢黄晓明了。最伤心的是要脱粉王博学了，干啥呢，给你ALEXA LF是用来跑焦的？隔壁《晴雅集》VENICE疯狂推镜头呢还……呕
三水,1,301,['2021-02-12'],"我后悔在开场五分钟想走的时候没走，有这么骗钱的吗？？？音乐服装做的浮于表面，动画特技创近几年影院观影最差，剧情就是 shit  ,   不等评分出来再看我就是🐶"
看个电影不容易,1,258,['2021-02-12'],陈坤周迅是喜欢的 但这个片子一言难尽… 仿佛看到了年前3.多的 赤狐书生… 比郭敬明还差！
有心打扰,2,223,['2021-02-12'],论人妖SM文化的博大精深，抖M对主人的一往情深，誓死相随。
？？？,1,213,['2021-02-12'],冲着游戏ip去的，结果大失所望，只能用四个字来形容：极其无聊🙄️
Margot芒果,1,235,['2021-02-12'],"啊这是在干什么……真的好难看啊……能不能别拍这中不中日不日的东西 违和感太强了 看得我浑身不适 一本正经讲什么阴阳师阴阳寮侍神令 感觉好中二啊主角其实是屈楚萧和沈月吧 屈楚萧演技真的 全程在干嘛啊 只适合演叛逆少年 稍微有点内涵的东西就演不出来 沈月更离谱 首先长得就很emmmmm其次全程都在莫名其妙哭 你哭什么啊我真的不懂 不是伤心难过不舍都是随便一哭就行了好吗？陈坤也完全没发挥吧 全程就是看我好帅看我好美看我厉不厉害 周迅中规中矩但逻辑太奇怪了吧 小时候就跟人家定什么侍神令占别人便宜还理直气壮 这能叫爱情吗？陈伟霆的角色也很牛逼了 谁敢信统治世界的初衷居然是渴望力量 我反正是服了论演技也就周迅王丽坤和绿色女配还行 其他人完全不知道在干嘛 总的来说是看了需要赔我精神损失费的程度"
邓安庆,4,394,['2021-02-12'],作为陈坤粉儿跑去看的，有一种看一部算一部的感觉，毕竟坤儿现在拍戏好少。这部电影里，他是半妖半人角色设定，哪边都是叛逆，哪边都不信任你，莫名地让我想起了《天龙八部》里的萧峰。陈坤的表演有张力。他有妖媚的一面，又有脆弱的一面，一抬头，一皱眉，情绪翻涌，颇为动人。看他与周迅的对手戏，合作得很是自然融洽。掐指一算，快二十年了！从2001年的《像雾像风又像雨》，到2008年的《画皮》，再到现在这部，这么多年下来了，还能一再合作，真好。
想去的远方,3,57,['2021-02-12'],拍这种奇幻片虽有原IP加持，但最重要的也是编剧和导演的想象力。从技法上来说还可以，虽说场面和剧情都缺乏丰富想象力，但是完成度总体还可以。周迅不出所料最大亮点，既帅又飒，演技还在线。剧情偏老俗，基本都能猜出下一步走向。部分场面、视效、运镜、打戏等技术方面偶有亮点，但也少有尴尬和低幼。不公不过，值得一张票钱吧。
后自愈,1,226,['2021-02-12'],啊这，屈楚萧其实才是男一吧，这是不是诈骗？整个剧情挺无聊的，一个三十分钟的体量延长到了两个小时，中间废戏废话实在太多。沈月在里面演戏是认真的么，跟闹着玩似的。某些方面还没有《晴雅集》做得好。
